time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448150000	20.2868	12.6646	4.92432	1.63801	0.580997	radar	3.32859	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3132	12.8992	4.91812	1.64904	0.562344	lidar	1.90591	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2958	13.1379	4.91388	1.67732	0.566651	radar	2.29068	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2586	13.356	4.89443	1.70905	0.57308	lidar	1.97632	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2161	13.5951	4.89206	1.73505	0.56277	radar	1.47101	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2009	13.8387	4.89333	1.75245	0.551099	lidar	0.956101	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1403	14.0719	4.88968	1.79059	0.571754	radar	1.00975	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0904	14.3122	4.89121	1.81651	0.568693	lidar	0.0829478	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0158	14.5439	4.88869	1.8478	0.569054	radar	1.52915	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9144	14.7799	4.89387	1.88751	0.580308	lidar	0.978018	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.844	15.005	4.88647	1.90423	0.552297	radar	3.72124	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.81	15.2277	4.87379	1.91497	0.536229	lidar	2.46503	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6738	15.4385	4.87499	1.99451	0.647216	radar	7.60398	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6343	15.6428	4.85068	2.00625	0.628782	lidar	4.6639	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.534	15.8567	4.84565	2.03248	0.617438	radar	1.67132	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4325	16.0637	4.83752	2.06116	0.616288	lidar	0.246137	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3264	16.2781	4.83416	2.07499	0.57703	radar	2.10127	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2125	16.4602	4.81284	2.10623	0.582543	lidar	1.84433	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.0885	16.6629	4.81079	2.13561	0.583789	radar	0.404968	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9649	16.8608	4.80609	2.16277	0.582298	lidar	0.10265	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8071	17.05	4.81239	2.22224	0.651334	radar	5.91953	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6514	17.2576	4.82755	2.25334	0.647704	lidar	0.87587	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5429	17.47	4.82091	2.23504	0.542722	radar	6.4975	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3429	17.6419	4.82911	2.28015	0.560475	lidar	3.51055	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2039	17.8363	4.82531	2.28163	0.503122	radar	2.48088	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0716	18.0222	4.81739	2.29775	0.494658	lidar	1.04221	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.8924	18.1796	4.81399	2.34201	0.532777	radar	2.12407	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7502	18.3333	4.79124	2.36475	0.531406	lidar	1.88099	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6107	18.5203	4.78763	2.37093	0.500093	radar	6.79221	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4288	18.687	4.7928	2.3976	0.501245	lidar	0.117649	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2431	18.832	4.78871	2.43331	0.521298	radar	1.94141	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0766	18.9724	4.7725	2.45822	0.521862	lidar	0.896092	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9082	19.143	4.7747	2.46907	0.49768	radar	2.89819	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.6949	19.2535	4.76755	2.5097	0.515042	lidar	2.91501	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5064	19.4042	4.77218	2.53337	0.516997	radar	3.0409	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2985	19.5488	4.78387	2.55863	0.515125	lidar	0.456243	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0712	19.6351	4.77818	2.61043	0.55641	radar	10.2589	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8738	19.7712	4.78165	2.63072	0.54809	lidar	0.651812	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6796	19.9004	4.77503	2.63414	0.496205	radar	3.3013	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4659	20.0393	4.78971	2.6519	0.487139	lidar	1.14244	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2617	20.1755	4.79596	2.6628	0.466105	radar	5.6375	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.071	20.3088	4.79309	2.67371	0.453303	lidar	1.78776	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
